municipality,iata_code,coordinates
Kingston,YGK,"-76.5969009399414, 44.22529983520508"
Yonago,YGJ,"133.235992, 35.492199"
Fort Good Hope,YGH,"-128.6510009765625, 66.24079895019531"
Salt Spring Island,YGG,"-123.4969, 48.8545"
Gorge Harbour,YGE,"-125.0235, 50.0994"
Grande Cache,YGC,"-118.87400054932, 53.916900634766"
Texada,YGB,"-124.51799774169922, 49.69419860839844"
Duhamel,YGA,"-75.115303039551, 46.117500305176"
St. Lewis,YFX,"-55.67390060424805, 52.372798919677734"
Fort Simpson,YFS,"-121.23699951171875, 61.76020050048828"
Fort Resolution,YFR,"-113.690002441, 61.1808013916"
Flin Flon,YFO,"-101.68199920654297, 54.6781005859375"
Fort Reliance,YFL,"-109.167, 62.7"
WekweÃ¨tÃ¬,YFJ,"-114.077002, 64.190804"
Suncor Energy Site,YFI,"-110.976666, 57.275833"
Fort Hope,YFH,"-87.90779876708984, 51.5619010925293"
Fontanges,YFG,"-71.173301696777, 54.553901672363"
Forestville,YFE,"-69.09719848632812, 48.74610137939453"
Fredericton,YFC,"-66.53720092773438, 45.868900299072266"
Iqaluit,YFB,"-68.555801, 63.756402"
Fort Albany,YFA,"-81.6968994140625, 52.20140075683594"
Amos,YEY,"-78.249702, 48.563903"
